Department,Organisation,Check Date,Expense type,Supplier,Invoice number,Invoice Amount,Postcode
DFI,Department for Infrastructure,01/07/2026,C - Contract Other Services,GIBSON QUARRIES,SIN007616,"£336,631.50",BT32 4ES
DFI,Department for Infrastructure,01/07/2026,C - Contract Other Services,LAGAN SPECIALIST UTILITIES LTD,27020003/TAX,"£214,628.92",BT3 9HA
DFI,Department for Infrastructure,01/07/2026,Cost Pass-Through Control,YUNEX LTD,7200022578,"£200,735.83",BH17 7ER
DFI,Department for Infrastructure,01/07/2026,Cost Pass-Through Control,COLAS (NI),38660,"£180,235.07",BT24 8AE
DFI,Department for Infrastructure,01/07/2026,C - Contract Other Services,WHITEMOUNTAIN QUARRIES LTD,26860,"£119,366.10",BT36 4TZ
DFI,Department for Infrastructure,01/07/2026,P - Contract Roads,BRIDGEPOINT ROAD MARKING,17423,"£66,489.17",BT34 3QQ
DFI,Department for Infrastructure,01/07/2026,P - Contract Roads,BRIDGEPOINT ROAD MARKING,17421,"£59,305.34",BT34 3QQ
DFI,Department for Infrastructure,01/07/2026,P - Vehicle/Boat & Plant/Equipment Costs - Maintenance,CIVICA UK LTD,C/HT356696,"£51,266.63",SE1 9LQ
DFI,Department for Infrastructure,01/07/2026,P - Contract Roads,BRIDGEPOINT ROAD MARKING,17422,"£39,604.99",BT34 3QQ
DFI,Department for Infrastructure,01/07/2026,C - Building / Landscaping Materials,NATIONAL VIBRATION MONITORING LTD,26639,"£36,792.90",A92 R625
DFI,Department for Infrastructure,01/07/2026,C - Contract Other Services,FP MCCANN LTD,67208,"£25,449.72",BT45 8QA
DFI,DVA,01/07/2026,P - Medical Fees,3FIVETWO HEALTHCARE,GI14723,"£25,404.00",BT9 5UB
DFI,Department for Infrastructure,01/07/2026,C - Contract Other Services,FP MCCANN LTD,67207,"£25,062.67",BT45 8QA
DFI,Department for Infrastructure,02/07/2026,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1176,"£1,000,000.00",BT2 7LX
DFI,Department for Infrastructure,02/07/2026,Subsidies to the Private sector (Current),DOWN DISTRICT ACCESSIBLE*GRANTEE,ERS-DFI-GRBT309UP-ERS-183,"£96,250.00",BT30 9UP
DFI,Department for Infrastructure,02/07/2026,Subsidies to the Private sector (Current),NEWRY & MOURNE COMM T/PORT*GRANTEE,ERS-DFI-GRBT356DN-ERS-75,"£46,594.00",BT35 6DN
DFI,Department for Infrastructure,02/07/2026,Subsidies to the Private sector (Current),SHOPMOBILITY MID-ULSTER*GRANTEE,ERS-DFI-EF00986292-ERS-1,"£33,856.00",BT71 6JT
DFI,Department for Infrastructure,02/07/2026,Subsidies to the Private sector (Current),LAGAN VALLEY RURAL TRANSPORT*GRANTEE,ERS-DFI-EF00621682-ERS-110,"£32,500.00",BT28 2RE
DFI,Department for Infrastructure,03/07/2026,Cost Pass-Through Control,FP MCCANN LTD,67258,"£495,423.00",BT45 8QA
DFI,Department for Infrastructure,03/07/2026,Grant in aid to NDPB's,WATERWAYS IRELAND*GRANTEE,ERS-DFI-INT413964-ERS-176,"£431,420.00",BT74 7JY
DFI,Department for Infrastructure,03/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573765-ERS-959,"£252,877.00",BT3 9BG
DFI,Department for Infrastructure,03/07/2026,Cost Pass-Through Control,WHITEMOUNTAIN QUARRIES LTD,26873,"£217,470.59",BT36 4TZ
DFI,Department for Infrastructure,03/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-968,"£192,858.00",BT2 7LX
DFI,Department for Infrastructure,03/07/2026,C - Contract Other Services,LAGAN SPECIALIST UTILITIES LTD,27030004/TAX,"£135,562.01",BT3 9HA
DFI,Department for Infrastructure,03/07/2026,C - Contract Other Services,WHITEMOUNTAIN QUARRIES LTD,26872,"£106,340.12",BT36 4TZ
DFI,Department for Infrastructure,03/07/2026,Subsidies to the Private sector (Current),CDM COMMUNITY TRANSPORT*GRANTEE,ERS-DFI-EF00024010-ERS-200,"£83,910.00",BT80 9LU
DFI,Department for Infrastructure,03/07/2026,P - Contract Roads,M & P BRADLEY LTD,85177,"£76,019.08",BT36 7DJ
DFI,Department for Infrastructure,03/07/2026,P - Contract Roads,NORTHERN ROAD MARKINGS LTD,17328,"£61,736.92",BT51 5TE
DFI,Department for Infrastructure,03/07/2026,Revenue Suspense Account (Deposits),APEX HOUSING ASSOCIATION,EF06244000,"£55,700.00",BT48 6HL
DFI,Department for Infrastructure,03/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1177,"£51,616.00",BT2 7LX
DFI,Department for Infrastructure,03/07/2026,Subsidies to the Private sector (Current),SOUTH ANTRIM COMMUNITY TRANSPORT*GRANTEE,ERS-DFI-GRBT399EBQ-ERS-198,"£49,389.00",BT39 9EB
DFI,Department for Infrastructure,03/07/2026,C - Contract Other Services,M & P BRADLEY LTD,85177,"£44,476.90",BT36 7DJ
DFI,Department for Infrastructure,03/07/2026,Subsidies to the Private sector (Current),OUT & ABOUT*GRANTEE,ERS-DFI-EF00741013-ERS-20,"£44,386.00",BT45 5EY
DFI,Department for Infrastructure,03/07/2026,"Other Creditor (Non-Imprest Deposits, holding deposits, and damage deposits)",ARMAGH CONSTRUCTION LIMITED,EF06244005,"£38,970.00",BT60 2AX
DFI,Department for Infrastructure,03/07/2026,Subsidies to the Private sector (Current),ARMAGH RURAL TRANSPORT LTD*GRANTEE,ERS-DFI-GRBT617NHQ-ERS-60,"£33,004.00",BT61 7NH
DFI,Department for Infrastructure,03/07/2026,P - Interest - Other,ARMAGH CONSTRUCTION LIMITED,EF06244005,"£4,921.70",BT60 2AX
DFI,Department for Infrastructure,06/07/2026,Cost Pass-Through Control,DEPARTMENT OF FINANCE,10087998,"£1,116,771.61",BT1 4NN
DFI,Department for Infrastructure,06/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1181,"£339,236.00",BT2 7LX
DFI,Department for Infrastructure,06/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1182,"£134,192.00",BT2 7LX
DFI,Department for Infrastructure,06/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-969,"£121,650.00",BT2 7LX
DFI,Department for Infrastructure,06/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1179,"£107,908.00",BT2 7LX
DFI,Department for Infrastructure,06/07/2026,C - Contract Other Services,LAGAN SPECIALIST UTILITIES LTD,27030018,"£86,047.50",BT3 9HA
DFI,DVA,06/07/2026,P - Legal Costs - fees,DEPARTMENT OF FINANCE,10087993,"£80,878.39",BT1 4NN
DFI,Department for Infrastructure,06/07/2026,C - Managed Services,WSP GROUP,50147461,"£75,718.94",RG21 4HJ
DFI,Department for Infrastructure,06/07/2026,P - Campaign Advertising,WALK WHEEL CYCLE TRUST,270092,"£41,968.79",BS1 5DD
DFI,Department for Infrastructure,06/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1180,"£40,332.00",BT2 7LX
DFI,Department for Infrastructure,06/07/2026,P - Contract Roads,CONTRACT SERVICES DGN LTD,30124,"£38,388.42",BT71 6HR
DFI,Department for Infrastructure,07/07/2026,Subsidies to the Private sector (Current),DISABILITY ACTION*GRANTEE,ERS-DFI-EF00577645-ERS-43,"£589,584.00",BT3 9ED
DFI,Department for Infrastructure,07/07/2026,Cost Pass-Through Control,COLAS (NI),38762,"£195,244.43",BT24 8AE
DFI,Department for Infrastructure,07/07/2026,Cost Pass-Through Control,JOHN MCQUILLAN CONTRACTS LTD,CE-JOB25655-010,"£169,840.39",BT28 2SA
DFI,Department for Infrastructure,07/07/2026,C - Contract Other Services,LAGAN SPECIALIST UTILITIES LTD,27030016,"£158,381.95",BT3 9HA
DFI,Department for Infrastructure,07/07/2026,Cost Pass-Through Control,KEENAN P (CONTRACTOR),020-SDW2,"£149,518.75",BT45 8QE
DFI,Department for Infrastructure,07/07/2026,Subsidies to the Private sector (Current),NORTH COAST COMMUNITY TRANSPORT*GRANTEE,ERS-DFI-GRBT51 3QJ-ERS-199,"£146,875.00",BT51 3QJ
DFI,Department for Infrastructure,07/07/2026,C - Contract Other Services,KEENAN P (CONTRACTOR),0140-SSW2-2023,"£106,577.30",BT45 8QE
DFI,Department for Infrastructure,07/07/2026,Subsidies to the Private sector (Current),FERMANAGH COMMUNITY TRANSPORT*GRANTEE,ERS-DFI-EF00237123-ERS-170,"£105,926.00",BT74 4RL
DFI,Department for Infrastructure,07/07/2026,P - Contract Roads,ROAD SAFETY CONTRACTS LTD,46388,"£34,668.64",BT46 5JG
DFI,Department for Infrastructure,07/07/2026,P - Contract Roads,CONTRACT SERVICES DGN LTD,30125,"£33,639.46",BT71 6HR
